DETUID,NAME,RA,DEC,EXT_LIKE,DET_LIKE_0,EXP,BEST_Z,BEST_ZERR,CR500,CR500_L,CR500_H,CTS500,CTS500_L,CTS500_H,F300kpc,F300kpc_L,F300kpc_H,F500,F500_L,F500_H,L500,L500_L,L500_H,KT,KT_L,KT_H,MGAS500,MGAS500_L,MGAS500_H,YX500,YX500_L,YX500_H,M500,M500_L,M500_H,FGAS500,FGAS500_L,FGAS500_H,R500,R500_L,R500_H
em01_002129_020_ML00014_002_c010,1eRASS J000005.2-383729,0.021729666982255817,-38.6249030550687,9.634506,80.58653,94.8,0.3153,0.0079,0.509,0.404,0.627,48.2,38.3,59.4,32.51,26.686,39.709,47.11,37.15,57.854,140.172,111.091,173.67,1.9,1.37,3.53,279.16,209.64,328.65,553.19,348.81,964.03,36.07,29.45,44.96,0.075,0.054,0.102,971.0,908.0,1045.0
em01_011174_020_ML00047_002_c010,1eRASS J000021.4-824954,0.08919076582988208,-82.83171519254894,14.928127,37.221573,184.2,0.0891,2.0E-4,1.029,0.926,1.149,189.5,170.6,211.6,66.773,60.058,74.071,98.355,88.515,109.715,24.747,22.321,27.683,-1.0,3.82,-1.0,111.92,96.52,125.58,-0.0,-0.0,-0.0,16.99,15.65,18.85,0.065,0.055,0.076,819.0,796.0,847.0
em01_002141_020_ML00031_002_c010,1eRASS J000031.0-500903,0.1294219086203196,-50.151012746035505,6.9752207,46.228764,117.3,0.0681,2.0E-4,0.258,0.18,0.493,30.3,21.1,57.8,23.888,17.01,37.288,23.991,17.1,45.932,2.862,1.996,5.454,1.79,1.22,8.61,1.92,0.65,15.41,9.34,1.6,54.89,3.63,2.3,4.81,0.009,0.002,0.052,493.0,423.0,541.0
em01_003153_020_ML00092_010_c010,1eRASS J000031.8-630131,0.13271221024583763,-63.025285513693035,12.914146,24.212395,139.6,0.2448,0.0058,0.356,0.271,0.45,49.6,37.8,62.9,16.36,12.12,21.568,33.228,25.277,42.461,57.877,43.992,75.007,-1.0,1.54,-1.0,171.95,137.88,199.81,-0.0,-0.0,-0.0,22.04,17.89,28.39,0.076,0.055,0.102,846.0,789.0,920.0
em01_002135_020_ML00092_002_c010,1eRASS J000045.3-462341,0.18907961209727556,-46.39487380084449,4.163312,25.377766,109.5,0.0925,4.0E-4,0.19,0.122,0.279,20.8,13.3,30.5,16.227,10.692,23.136,16.818,10.786,24.491,3.996,2.571,5.759,0.96,0.48,7.53,6.4,0.75,17.21,11.17,2.31,63.21,3.78,2.63,4.86,0.019,0.007,0.049,495.0,439.0,539.0
em01_004159_020_ML00094_010_c010,1eRASS J000056.7-682010,0.2364968485537428,-68.3362252580947,7.909241,29.755669,158.6,0.2415,0.0073,0.204,0.15,0.26,32.4,23.9,41.3,14.743,11.18,18.54,18.012,13.438,23.05,34.28,25.295,43.963,1.17,0.83,6.07,80.88,44.81,111.58,110.99,51.54,456.69,14.25,11.27,17.42,0.054,0.028,0.082,732.0,677.0,783.0
em01_002138_020_ML00009_002_c010,1eRASS J000104.0-464435,0.26697432365194945,-46.74311216673274,30.143105,41.237625,111.9,0.172,0.0042,0.754,0.621,0.924,84.4,69.5,103.4,55.991,45.532,69.317,71.665,59.242,87.182,57.547,47.417,71.086,-1.0,2.31,-1.0,148.84,108.83,178.57,-0.0,-0.0,-0.0,23.84,20.8,28.13,0.06,0.043,0.078,891.0,851.0,942.0
em01_002132_020_ML00183_002_c010,1eRASS J000104.1-431959,0.26745742028849945,-43.333211348397825,4.729787,9.9042,99.8,0.0381,0.0011,0.212,0.083,0.389,21.1,8.3,38.8,-1.0,-1.0,31.967,-1.0,-1.0,35.822,-1.0,-1.0,1.297,-1.0,-1.0,-1.0,-1.0,-1.0,6.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_002129_020_ML00110_002_c010,1eRASS J000105.4-380934,0.2727127201676221,-38.15951107702372,3.3567235,12.013079,94.3,0.304,0.0078,0.203,0.142,0.273,19.1,13.4,25.7,10.992,7.207,16.059,19.3,13.518,25.969,54.051,37.783,72.519,-1.0,3.12,-1.0,153.1,116.23,190.52,-0.0,-0.0,-0.0,16.5,11.37,21.88,0.09,0.061,0.141,751.0,664.0,826.0
em01_008171_020_ML00561_002_c010,1eRASS J000107.3-804612,0.28076207209609416,-80.77005600090662,4.1432176,5.0768104,179.9,0.2062,0.005,0.004,0.0,0.055,0.7,0.0,9.9,-1.0,-1.0,3.236,-1.0,-1.0,4.677,-1.0,-1.0,8.578,-1.0,-1.0,-1.0,-1.0,-1.0,28.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_002138_020_ML00019_002_c010,1eRASS J000107.5-484301,0.2813858142145061,-48.716971776230004,3.8826797,16.821035,115.3,0.3247,0.0074,0.388,0.26,0.608,44.7,30.0,70.1,24.422,16.27,44.711,35.156,23.751,55.457,121.977,81.625,193.054,-1.0,0.98,-1.0,213.27,101.51,286.04,-0.0,-0.0,-0.0,29.5,21.3,39.67,0.066,0.036,0.111,905.0,812.0,999.0
eb01_002123_020_ML00069_002_c010,1eRASS J000109.0-332939,0.28750699282983094,-33.49434692985312,9.697432,25.72551,81.3,0.6293,0.0314,0.25,0.165,0.369,20.3,13.4,30.0,19.29,13.307,27.57,23.432,15.499,34.324,325.319,206.799,487.604,-1.0,1.31,-1.0,216.23,14.59,422.48,-0.0,-0.0,-0.0,37.72,27.63,50.24,0.06,0.022,0.124,872.0,786.0,959.0
em01_002135_020_ML00203_002_c010,1eRASS J000130.9-455732,0.3788646041045448,-45.9590728848552,6.654639,11.611507,104.4,0.1846,0.0046,0.176,0.117,0.253,18.3,12.2,26.4,14.835,10.005,20.846,16.576,10.979,23.645,15.501,10.35,22.341,-1.0,1.7,-1.0,31.46,10.6,57.06,-0.0,-0.0,-0.0,7.76,5.37,10.95,0.041,0.017,0.082,610.0,540.0,684.0
em01_003153_020_ML00087_010_c010,1eRASS J000137.0-625826,0.40429340977506095,-62.97394374181603,6.640108,36.598618,138.2,0.2301,0.0057,0.209,0.154,0.285,28.8,21.3,39.4,18.233,13.767,24.607,19.004,14.125,26.093,32.652,24.167,45.138,-1.0,1.28,-1.0,29.0,5.85,69.17,-0.0,-0.0,-0.0,12.63,10.07,17.39,0.025,0.009,0.053,706.0,655.0,786.0
em01_002126_020_ML00112_003_c010,1eRASS J000154.0-365735,0.475277130496171,-36.95993062631508,4.315039,14.780255,90.9,0.3354,0.0092,0.134,0.08,0.224,12.2,7.3,20.4,12.164,7.331,20.161,12.617,7.393,20.929,44.415,26.325,76.006,-1.0,1.25,-1.0,17.81,1.21,68.78,-0.0,-0.0,-0.0,14.32,9.82,21.36,0.014,0.004,0.048,708.0,625.0,809.0
em01_003147_020_ML00093_010_c010,1eRASS J000155.3-561443,0.48058361409586,-56.245411179232484,15.035867,23.22412,131.6,0.3804,0.0103,0.223,0.162,0.291,29.4,21.4,38.3,16.701,12.296,21.974,21.459,15.728,27.988,94.09,68.747,122.519,-1.0,8.94,-1.0,174.7,96.78,242.22,-0.0,-0.0,-0.0,24.34,19.51,31.4,0.068,0.038,0.103,831.0,772.0,905.0
em01_003147_020_ML00062_010_c010,1eRASS J000155.6-560812,0.4819986533047429,-56.13692414225959,3.2278433,10.352309,132.4,0.2915,0.008,0.291,0.178,0.63,38.5,23.6,83.4,10.507,6.447,43.555,27.519,16.816,57.997,70.637,43.504,155.866,-1.0,1.96,-1.0,173.6,109.6,205.47,-0.0,-0.0,-0.0,23.54,15.22,34.71,0.068,0.039,0.11,850.0,735.0,967.0
