"Fx"	"z"	"Lx"
7.42831008705515e-14	0.025	1.05986463272986e+41
7.60446380387497e-14	0.025	1.08499808733706e+41
8.37583124255542e-14	0.025	1.19505610289049e+41
6.88391776636065e-14	0.025	9.82191223802126e+40
7.00364358752174e-14	0.025	9.99273596776069e+40
9.15310361158942e-14	0.025	1.30595662862014e+41
9.42811200317676e-14	0.025	1.34519457971958e+41
8.01948956488034e-14	0.025	1.14421359134893e+41
8.90544515102601e-14	0.025	1.27062094119308e+41
1.04578687475398e-13	0.025	1.49211935007446e+41
9.24253778774612e-14	0.025	1.31871701680466e+41
6.7656346420114e-14	0.025	9.65314693517664e+40
7.70295166507282e-14	0.025	1.09905024719758e+41
7.66013101501773e-14	0.025	1.09294063518462e+41
1.3889772706065e-13	0.025	1.9817803343278e+41
1.49373214753185e-13	0.025	2.13124365486504e+41
9.04951435727904e-14	0.025	1.29117660655755e+41
1.48663186061594e-13	0.025	2.12111302906157e+41
1.77744463590282e-13	0.025	2.53604209322341e+41
1.1509859924102e-13	0.025	1.64221650930925e+41
1.25775061019383e-13	0.025	1.79454731011007e+41
1.21208432215387e-13	0.025	1.72939105918033e+41
1.33425935897684e-13	0.025	1.90370930789856e+41
1.04948376006682e-13	0.025	1.49739403294098e+41
1.38232505808102e-13	0.025	1.97228901705304e+41
8.39070235693636e-14	0.025	1.19717790017641e+41
1.14055425598143e-13	0.025	1.62733260116698e+41
1.48024264817715e-13	0.025	2.11199695795588e+41
1.93692957237813e-13	0.025	2.76359377273383e+41
1.71517568263768e-13	0.025	2.44719730819238e+41
1.24390496113367e-13	0.025	1.77479246198974e+41
1.65242685721035e-13	0.025	2.35766784585657e+41
1.55842196284675e-13	0.025	2.22354250419494e+41
1.77619099764577e-13	0.025	2.53425341338195e+41
1.73926871673516e-13	0.025	2.48157303354016e+41
1.8055823600416e-13	0.025	2.57618874611043e+41
1.66507686528186e-13	0.025	2.37571676411876e+41
1.61543265758952e-13	0.025	2.30488485304291e+41
1.8535226294686e-13	0.025	2.64458949332446e+41
2.1458368785258e-13	0.025	3.06166084681926e+41
1.72121992057856e-13	0.025	2.45582117277298e+41
1.9088399968699e-13	0.025	2.72351581788183e+41
3.03435021751595e-13	0.025	4.32938372412001e+41
2.16879926898312e-13	0.025	3.0944233799438e+41
2.52667318215553e-13	0.025	3.6050346752491e+41
2.85341885800943e-13	0.025	4.07123248023634e+41
2.53764865749576e-13	0.025	3.62069438520222e+41
2.53010950811986e-13	0.025	3.60993759436994e+41
3.12206603825087e-13	0.025	4.45453587183369e+41
3.58195331191711e-13	0.025	5.11069891657626e+41
3.77273426730263e-13	0.025	5.38290347567765e+41
4.12015852609316e-13	0.025	5.87860529766559e+41
4.03723952989171e-13	0.025	5.76029721625078e+41
4.15066333107286e-13	0.025	5.92212928030419e+41
5.05653403647142e-13	0.025	7.21461749259771e+41
4.84875857802445e-13	0.025	6.91816532867831e+41
4.57450726356506e-13	0.025	6.52686600855203e+41
5.45816829353405e-13	0.025	7.78766565478363e+41
5.5452310213053e-13	0.025	7.91188597530382e+41
5.9203420912872e-13	0.025	8.44709109162238e+41
7.65922955534367e-13	0.025	1.09281201572539e+42
6.12412864588475e-13	0.025	8.73785192324169e+41
7.81861494146001e-13	0.025	1.11555297992034e+42
8.03052417488262e-13	0.025	1.14578799962488e+42
5.99246306160052e-13	0.025	8.54999264637365e+41
9.16008500788598e-13	0.025	1.30695272799336e+42
9.26378307630991e-13	0.025	1.32174827555625e+42
1.0268056014583e-12	0.025	1.46503703927362e+42
9.90808770902688e-13	0.025	1.41367708371287e+42
1.58716105591059e-12	0.025	2.26454718488022e+42
1.83879529436344e-12	0.025	2.62357666344876e+42
1.82137854833148e-12	0.025	2.59872660614073e+42
2.10734855015351e-12	0.025	3.0067460444798e+42
2.44960478821162e-12	0.025	3.49507418075549e+42
2.28651906926358e-12	0.025	3.26238493705045e+42
2.49540287181855e-12	0.025	3.56041847642024e+42
5.16049786384245e-12	0.025	7.36295215071302e+42
5.75093842097853e-12	0.025	8.20538745147996e+42
6.92945958038169e-12	0.025	9.88689089053521e+42
7.5198359925062e-12	0.025	1.07292346697739e+43
7.89222814690281e-12	0.025	1.12605604616776e+43
1.1394648756635e-11	0.025	1.62577828308247e+43
2.2154413312819e-11	0.025	3.16097185685001e+43
7.80410540660891e-14	0.035	2.21503522418602e+41
6.78107484848398e-14	0.035	1.92466898698138e+41
7.37611941113889e-14	0.035	2.09356017918962e+41
7.64871702127377e-14	0.035	2.17093141868702e+41
6.60724959803259e-14	0.035	1.87533225553786e+41
7.62944947645001e-14	0.035	2.1654627213483e+41
7.85308026469132e-14	0.035	2.22893573296953e+41
7.44277670040596e-14	0.035	2.11247948332284e+41
7.52805867188978e-14	0.035	2.13668502143163e+41
7.0852790372165e-14	0.035	2.01101110542801e+41
9.15041715195035e-14	0.035	2.59715819450638e+41
6.52533246061045e-14	0.035	1.85208175655038e+41
7.79789520218742e-14	0.035	2.21327258505875e+41
7.78853190983859e-14	0.035	2.21061500660659e+41
6.95053237860846e-14	0.035	1.97276603061067e+41
7.1774395701962e-14	0.035	2.03716898210878e+41
6.78483971327174e-14	0.035	1.92573756661795e+41
1.06249200704779e-13	0.035	3.01566559958803e+41
1.02390530033659e-13	0.035	2.90614514836726e+41
8.65086489346225e-14	0.035	2.45537053388154e+41
8.91230340593286e-14	0.035	2.52957449242761e+41
7.18081477704381e-14	0.035	2.03812696533259e+41
1.10506768594727e-13	0.035	3.13650793005697e+41
8.52649742312714e-14	0.035	2.42007137873405e+41
6.60500257002764e-14	0.035	1.87469448273478e+41
7.59792925971167e-14	0.035	2.15651635444118e+41
6.9283517646739e-14	0.035	1.96647051836432e+41
9.3695428013812e-14	0.035	2.65935251489587e+41
8.19705917697988e-14	0.035	2.32656709074836e+41
6.97223470336082e-14	0.035	1.97892579028441e+41
1.23319464491788e-13	0.035	3.50017001879223e+41
9.48349168120942e-14	0.035	2.69169456685769e+41
9.8874116603443e-14	0.035	2.80633896681397e+41
1.24614378129731e-13	0.035	3.53692348598517e+41
1.44501713783196e-13	0.035	4.10138471110306e+41
1.13927811913478e-13	0.035	3.23360722664109e+41
7.92942487493958e-14	0.035	2.250604584435e+41
1.14779656728316e-13	0.035	3.25778509421331e+41
7.62982695774572e-14	0.035	2.16556986167034e+41
1.32377616254739e-13	0.035	3.75726707445176e+41
7.71720382288731e-14	0.035	2.19036999236869e+41
8.87754451383173e-14	0.035	2.5197088939578e+41
8.48145924711839e-14	0.035	2.40728821639901e+41
1.22974368327582e-13	0.035	3.49037517211062e+41
1.36625426570926e-13	0.035	3.87783245620642e+41
1.18261728810269e-13	0.035	3.35661656704487e+41
1.27043943379479e-13	0.035	3.60588171152493e+41
1.30331198095128e-13	0.035	3.69918369306747e+41
7.44068590203629e-14	0.035	2.1118860530968e+41
1.13897388235857e-13	0.035	3.23274371296374e+41
1.17585296829395e-13	0.035	3.33741743291822e+41
2.22783727155075e-13	0.035	6.32325907087365e+41
1.55765676664038e-13	0.035	4.42108919028475e+41
1.47791220267666e-13	0.035	4.19475060448425e+41
1.47612977754172e-13	0.035	4.18969155639012e+41
2.17299098733327e-13	0.035	6.16758914443395e+41
1.92229412063064e-13	0.035	5.45603751691604e+41
1.04274133101243e-13	0.035	2.95960735736752e+41
1.59192482839456e-13	0.035	4.51835205373327e+41
1.74769905011182e-13	0.035	4.96048522614236e+41
8.02106574720023e-14	0.035	2.27661496608112e+41
1.47026192779285e-13	0.035	4.17303686862415e+41
2.00610096788135e-13	0.035	5.69390606047913e+41
2.35993644223759e-13	0.035	6.69819546769538e+41
2.57830049525901e-13	0.035	7.31797703641801e+41
2.30298238105839e-13	0.035	6.5365430487448e+41
1.48457496987437e-13	0.035	4.21366150235728e+41
2.20110222278748e-13	0.035	6.24737711945764e+41
1.89776380445903e-13	0.035	5.38641324667679e+41
2.59849856802084e-13	0.035	7.37530512246645e+41
2.11837835170322e-13	0.035	6.0125823815784e+41
1.71542403878757e-13	0.035	4.86887922747957e+41
1.79983563039459e-13	0.035	5.1084642138392e+41
2.93273296117512e-13	0.035	8.32396088170853e+41
2.05982408417463e-13	0.035	5.84638810517563e+41
2.3066295551095e-13	0.035	6.54689480409795e+41
3.10729844833468e-13	0.035	8.81942920618574e+41
2.55562886434278e-13	0.035	7.25362826298055e+41
2.52861365507265e-13	0.035	7.17695113343868e+41
2.36859419488756e-13	0.035	6.72276872251809e+41
2.70504951879056e-13	0.035	7.67772813808278e+41
2.6026081783463e-13	0.035	7.38696940831895e+41
2.87075163347255e-13	0.035	8.14803959803809e+41
2.9606096016269e-13	0.035	8.40308300694323e+41
