z Lx kcorr
0.01 1e+40 0.9947
0.01 1.14173510247619e+40 0.9947
0.01 1.30355904422631e+40 0.995
0.01 1.4883191189435e+40 0.995
0.01 1.69926618178422e+40 0.9951
0.01 1.94011184819373e+40 0.9951
0.01 2.21509379981273e+40 0.9951
0.01 2.52905034652355e+40 0.9949
0.01 2.88750555655553e+40 0.9949
0.01 3.29676645251449e+40 0.9947
0.01 3.76403398350168e+40 0.9947
0.01 4.29752972587713e+40 0.9944
0.01 4.90664054196878e+40 0.9944
0.01 5.60208374199861e+40 0.9941
0.01 6.39609565525095e+40 0.9941
0.01 7.30264692839543e+40 0.9941
0.01 8.33768833913895e+40 0.9943
0.01 9.51943145030131e+40 0.9943
0.01 1.08686690424248e+41 0.9944
0.01 1.24091409629328e+41 0.9944
0.01 1.41679518289555e+41 0.9897
0.01 1.61760479333101e+41 0.9897
0.01 1.84687617447975e+41 0.9897
0.01 2.10864335833047e+41 0.9911
0.01 2.4075121408092e+41 0.9911
0.01 2.74874112079945e+41 0.9921
0.01 3.13833422523646e+41 0.9921
0.01 3.58314634825487e+41 0.9931
0.01 4.09100396311194e+41 0.9931
0.01 4.67084282905416e+41 0.9931
0.01 5.33286521608031e+41 0.9936
0.01 6.08871941397313e+41 0.9936
0.01 6.95170468406135e+41 0.9942
0.01 7.93700525984097e+41 0.9942
0.01 9.06195751369867e+41 0.9945
0.01 1.03463549905376e+42 0.9945
0.01 1.18127966753764e+42 0.9948
0.01 1.34870846226912e+42 0.9948
0.01 1.53986779437934e+42 0.9948
0.01 1.75812111401549e+42 0.995
0.01 2.00730859027603e+42 0.995
0.01 2.29181467902013e+42 0.9952
0.01 2.61664526740747e+42 0.9952
0.01 2.98751575252729e+42 0.9955
0.01 3.41095160386101e+42 0.9955
0.01 3.89440317897556e+42 0.9955
0.01 4.44637681263124e+42 0.9958
0.01 5.07658448581727e+42 0.9958
0.01 5.79611470814359e+42 0.9964
0.01 6.61762762026614e+42 0.9964
0.01 7.55557774917379e+42 0.997
0.01 8.62646833571973e+42 0.997
0.01 9.84914170929053e+42 0.9977
0.01 1.12451108187593e+43 0.9977
0.01 1.28389377530122e+43 0.9977
0.01 1.4658665911121e+43 0.9984
0.01 1.67363134261978e+43 0.9984
0.01 1.91084365247335e+43 0.9989
0.01 2.18167727337263e+43 0.9989
0.01 2.49089752528407e+43 0.9995
0.01 2.84394514128792e+43 0.9995
0.01 3.24703199732501e+43 0.9995
0.01 3.70725041020933e+43 1
0.01 4.23269792700523e+43 1
